k,Random Inertia,K-means++ Inertia,Random Silhouette,K-means++ Silhouette,Random Iterations,K-means++ Iterations,Random Time(s),K-means++ Time(s)
2,222.36170496502297,222.36170496502297,0.5817500491982808,0.5817500491982808,5.6,5.0,0.013655424118041992,0.013072061538696288
3,150.1482223450473,161.85360990548494,0.4649442729790648,0.46926318265936073,7.4,6.8,0.02142958641052246,0.024519062042236327
4,114.49018343643039,114.67885272660328,0.4002974822350662,0.3997450105036738,8.4,8.2,0.03464555740356445,0.03572912216186523
